# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 2.41663211341001e-05
512 0.25 2.69755049948306e-05
1024 0.5 3.12981539465729e-05
1536 0.75 3.51206848788053e-05
2048 1 3.83127548910347e-05
2560 1.25 4.07896862413992e-05
3072 1.5 4.24028930914319e-05
3584 1.75 4.31743577547955e-05
4096 2 4.33352645887775e-05
4608 2.25 4.32205828958028e-05
5120 2.5 4.31333817471409e-05
5632 2.75 4.32552848980511e-05
6144 3 4.36150087681803e-05
6656 3.25 4.4115074994161e-05
7168 3.5 4.46036971457174e-05
7680 3.75 4.49497717929869e-05
8192 4 4.50972282810912e-05
8704 4.25 4.5082696086648e-05
9216 4.5 4.50045971743343e-05
9728 4.75 4.49751131025298e-05
10240 5 4.50692548250783e-05
10752 5.25 4.52912706228643e-05
11264 5.5 4.55784024814376e-05
11776 5.75 4.5840626596836e-05
12288 6 4.60154893203718e-05
12800 6.25 4.60921915498246e-05
13312 6.5 4.61054726177688e-05
13824 6.75 4.61131877364922e-05
14336 7 4.61706417115887e-05
14848 7.25 4.6306283208659e-05
15360 7.5 4.65016853694712e-05
15872 7.75 4.67042342742454e-05
16384 8 4.68613082359242e-05
16896 8.25 4.69498111882605e-05
17408 8.5 4.69870424388615e-05
17920 8.75 4.70120359049797e-05
18432 9 4.70593622709738e-05
18944 9.25 4.7147396105447e-05
19456 9.5 4.72788526757169e-05
19968 9.75 4.74370060626145e-05
20480 10 4.75894254361769e-05
20992 10.25 4.7707003247795e-05
21504 10.5 4.77797393546001e-05
22016 10.75 4.7823536976712e-05
22528 11 4.78745220477813e-05
23040 11.25 4.79645670074779e-05
23552 11.5 4.809642104336e-05
24064 11.75 4.82450747902326e-05
24576 12 4.83851696922856e-05
25088 12.25 4.85029893134394e-05
25600 12.5 4.85917391200941e-05
26112 12.75 4.86575049072366e-05
26624 13 4.8722090773924e-05
27136 13.25 4.88070850782487e-05
27648 13.5 4.89181192044421e-05
28160 13.75 4.90434474326376e-05
28672 14 4.91673974057302e-05
29184 14.25 4.92779000286867e-05
29696 14.5 4.93709631529972e-05
30208 14.75 4.94542254111906e-05
30720 15 4.95369810565158e-05
31232 15.25 4.96207100054255e-05
31744 15.5 4.97064974118124e-05
32256 15.75 4.98029516106188e-05
32768 16 4.99156963778911e-05
33280 16.25 5.00355857326726e-05
33792 16.5 5.01465887607332e-05
34304 16.75 5.02409965159855e-05
34816 17 5.03222977286163e-05
35328 17.25 5.03940060199083e-05
35840 17.5 5.04605850348229e-05
36352 17.75 5.05349335975827e-05
36864 18 5.06305979306612e-05
37376 18.25 5.07465363772647e-05
37888 18.5 5.08664636433848e-05
38400 18.75 5.09719955108488e-05
38912 19 5.1051561014606e-05
39424 19.25 5.11100890245276e-05
39936 19.5 5.11709142678191e-05
40448 19.75 5.12534966833205e-05
40960 20 5.1356927027866e-05
41472 20.25 5.14619880193049e-05
41984 20.5 5.15483938246432e-05
42496 20.75 5.16108071996329e-05
43008 21 5.16590583254603e-05
43520 21.25 5.17101442913688e-05
44032 21.5 5.17790544552666e-05
44544 21.75 5.187135043989e-05
45056 22 5.1980158587235e-05
45568 22.25 5.20893452228885e-05
46080 22.5 5.21846441666698e-05
46592 22.75 5.22600119813042e-05
47104 23 5.23193633088389e-05
47616 23.25 5.23740285381948e-05
48128 23.5 5.24322649564456e-05
48640 23.75 5.24926875098074e-05
49152 24 5.25537419567538e-05
49664 24.25 5.26245230503936e-05
50176 24.5 5.27205985564276e-05
50688 24.75 5.28418380705777e-05
51200 25 5.29627633661043e-05
51712 25.25 5.30569224895202e-05
52224 25.5 5.31219748677356e-05
52736 25.75 5.31754378283887e-05
53248 26 5.32345531862189e-05
53760 26.25 5.33055718558652e-05
54272 26.5 5.33872988147715e-05
54784 26.75 5.34749122491668e-05
55296 27 5.35683563687273e-05
55808 27.25 5.3673263409014e-05
56320 27.5 5.37867380562238e-05
56832 27.75 5.38941410622164e-05
57344 28 5.3980705327237e-05
